분류1,분류2,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
차대사람,횡단중,2278,2048,2140,2317,2321,2056,2047,1863,2053,2472,2582,2646
차대사람,차도통행중,312,302,336,285,294,256,308,279,285,331,320,314
차대사람,길가장자리구역통행중,273,259,323,331,319,251,273,267,255,324,349,320
차대사람,보도통행중,109,100,156,179,147,140,144,141,145,136,98,132
차대사람,기타,901,833,1061,1140,1187,1051,1060,1105,1144,1200,1084,1107
차대차,정면충돌,1475,1258,1520,1651,1717,1663,1742,1565,1578,1819,1796,1714
차대차,측면직각충돌,5620,5253,6066,6597,6528,6193,6539,6436,5875,6352,6181,5757
차대차,추돌,3424,3133,3328,3511,3521,3144,3389,3383,3258,3714,3552,3666
차대차,기타,1848,1742,2178,2471,2531,2280,2504,2480,2409,2666,2490,2492
차량단독,공작물충돌,199,170,165,191,206,182,201,181,158,193,146,168
차량단독,도로이탈,24,19,22,22,25,23,21,31,27,13,16,20
차량단독,주/정차차량 충돌,4,3,2,6,3,1,1,1,3,8,1,3
차량단독,전도전복,363,366,389,472,477,450,465,403,394,409,353,313
차량단독,기타,236,177,260,279,278,284,261,263,299,281,266,216
건널목,기타,1,1,0,0,0,3,0,0,0,0,0,1
