분류1,분류2,승용차,승합차,화물차,특수차,이륜차,원동기장치자전거,자전거,건설기계,농기계,불명
차대사람,횡단중,18494,1765,3026,66,1490,704,456,138,3,681
차대사람,차도통행중,2486,234,414,11,164,98,86,20,1,108
차대사람,길가장자리구역통행중,2481,159,428,7,100,49,67,15,3,235
차대사람,보도통행중,898,83,193,1,123,66,182,6,1,74
차대사람,기타,8143,1589,1376,48,387,202,423,91,9,605
차대차,정면충돌,13394,818,2535,91,1187,463,662,172,46,130
차대차,측면직각충돌,49358,3416,8532,368,5161,2294,2468,1019,174,607
차대차,추돌,29473,2209,5880,192,1451,617,288,563,16,334
차대차,기타,18477,1561,3114,136,1611,745,1066,403,45,933
차량단독,공작물충돌,1430,154,305,9,158,70,22,7,4,1
차량단독,도로이탈,132,21,45,2,30,13,6,3,10,1
차량단독,주/정차차량 충돌,25,0,2,0,6,2,1,0,0,0
차량단독,전도전복,2193,223,655,18,1017,460,122,44,116,6
차량단독,기타,705,1877,68,2,191,123,87,1,15,31
건널목,기타,3,0,3,0,0,0,0,0,0,0
