순위,영화명
1,1987
2,신과함께-죄와 벌
3,쥬만지: 새로운 세계
4,강철비
5,위대한 쇼맨
6,페르디난드
7,원더
8,코코
9,너의 이름은.
10,다운사이징
11,블레이드 러너 2049
12,그것만이 내 세상
13,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?"
14,메이즈 러너: 데스 큐어
15,염력
16,기억의 밤
17,더 포리너
18,찰스 디킨스의 비밀 서재
19,극장판 포켓몬스터 너로 정했다!
20,러빙 빈센트
21,꾼
22,스타워즈: 라스트 제다이
23,골든슬럼버
24,스타박'스 다방
25,조선명탐정: 흡혈괴마의 비밀
26,흥부
27,패터슨
28,아오 오니
29,뽀로로 극장판 공룡섬 대모험
30,22년 후의 고백
31,어벤져스: 인피니티 워
32,메이헴
33,범죄도시
34,지오스톰
35,돌아와요 부산항애(愛)
36,반드시 잡는다
37,원더풀 라이프
38,모범생
39,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리
40,블랙 팬서
41,몬스터 패밀리
42,리틀 포레스트
43,다키스트 아워
44,수면의 과학
45,해피 데스데이
46,1급기밀
47,하이큐!! 콘셉트의 싸움
48,덩케르크
49,리얼
50,쥬만지
